Id,Name,City,CountryId,IATA,ICAO,Latitude,Longitude,Altitude,Offset,DST,TimeZone
8435,Kasimovo,Saint-Petersburg,RU,,XLLN,60.200059,30.334926,230,4,N,Europe/Moscow
8436,Otaru,Otaru,JP,QOT,\N,43.1894444,141.0022222,0,9,N,Asia/Tokyo
8437,Noboribetsu,Noboribetsu,JP,,\N,42.46867,141.03833,361,9,N,Asia/Tokyo
8438,Terlet,Arnhem,NL,,EHTL,52.057222,5.924444,276,1,E,Europe/Amsterdam
8439,Schaffen Diest,Schaffen,BE,,\N,51.002846,5.060649,100,1,E,Europe/Brussels
8440,Blomberg 3GGW,Blomberg,DE,,\N,51.930401,9.094285,200,1,E,Europe/Berlin
8441,Buckeburg,Buckeburg,DE,,\N,52.279764,9.079843,200,1,E,Europe/Berlin
8442,Shigatse Peace Airport,Shigatse,CN,RKZ,ZURK,29.351667,89.306944,12408,8,N,Asia/Chongqing
8443,Redlands Municipal Airport,Redlands,US,REI,KREI,34.08525,-117.146388,1574,-8,A,America/Los_Angeles
8444,Chemehuevi Valley,Chemehuevi Valley,US,49X,\N,34.528889,-114.431971,638,-8,A,America/Los_Angeles
8445,Flabob Airport,Riverside,US,RIR,KRIR,33.988778,-117.409971,764,-8,A,America/Los_Angeles
8446,Tacoma Narrows Airport,Tacoma,US,TIW,KTIW,47.267944,-122.57811,294,-8,A,America/Los_Angeles
8447,Tampa North Aero Park,Tampa,US,X39,\N,28.221278,-82.374555,68,-5,A,America/New_York
8448,Athuruga,Athuruga,MV,,\N,3,72,0,5,N,Indian/Maldives
8449,Athuruga,Athuruga,MV,,\N,3,72,0,5,U,Indian/Maldives
8450,Athuruga,Athuruga,MV,,\N,3,72,0,5,U,Indian/Maldives
8451,STROE KAZERNE,STROE,NL,,\N,52.198138,5.705802,10,1,E,Europe/Amsterdam
8452,\\'t Harde,Oldebroek,NL,,\N,52.406503,5.898492,10,1,E,Europe/Amsterdam
8453,WERL KAZERNE,WERL,DE,,\N,51.566907,7.915326,100,1,E,Europe/Berlin
8454,SZEGED,SZEGED,HU,,\N,46.252761,20.096519,100,1,E,Europe/Budapest
8455,LAKE WANNSEE,BERLIN,DE,,\N,52.437517,13.175561,0,1,E,Europe/Berlin
8456,Tenkiller Lake Airpark,COOKSON,US,,\N,35.705541,-94.933605,150,-6,U,America/Chicago
8457,HOEVENEN,HOEVENEN,BE,,\N,51.304111,4.388766,50,1,E,Europe/Brussels
8458,GRAS,HARREVELD,NL,,\N,51.981127,6.516252,50,1,E,Europe/Amsterdam
8459,Muenster-Telgte,TELGTE,DE,,EDLO,51.944556,7.773292,100,1,E,Europe/Berlin
8460,Jack Edwards Airport,Gulf Shores,US,JKA,KJKA,30.2896389,-87.6717778,17,-6,A,America/Chicago
8461,General Villamil Airport,Isabela,EC,,SEII,-0.942499999,-90.95305555,35,-6,N,Pacific/Galapagos
8462,Balzers Heliport,Balzers,CH,,LSXB,47.076667,9.5,1585,1,E,Europe/Vaduz
8463,Vieste Heliport,Vieste,IT,VIF,\N,41.885277,16.176945,46,1,E,Europe/Rome
8464,Alpha,Cork,IE,,\N,51.400377,-7.901464,100,0,U,\N
8465,Gogld,Island of Gogland,RU,,\N,60.011662,27.008236,10,3,U,\N
8466,HIBER,Offshore,MX,,\N,19.398611,-92.016111,100,-6,U,\N
8467,Punitz-Guessing,Punitz-Guessing,AT,,LOGG,47.14833,16.31833,950,1,E,Europe/Vienna
8468,Khmeinitskiy,Khmeinitskiy,UA,HMJ,UKLH,49.366,26.933,351,2,E,Europe/Kiev
8469,Hiroshima-Nishi,Hiroshima,JP,HIW,RJBH,34.367,132.408,9,9,N,Asia/Tokyo
8470,Annapolis,Annapolis,US,,ANNA,38.972944,-76.501158,0,-5,A,America/New_York
8471,High River Regional Airport,High River,CA,,\N,50.3333,-113.833,3431,-7,A,America/Edmonton
8472,Yalata,Yalata,AU,,YYTA,-31.29,131.51,100,9.5,O,Australia/Adelaide
8473,Hazleton Municipal,Hazleton,US,HZL,KHZL,40.989167,-76.0025,1603,-5,A,America/New_York
8474,Greater Cumberland Rgnl.,Cumberland,US,CBE,KCBE,39.615278,-78.760556,775,-5,A,America/New_York
8475,Sugar Loaf Shores Airport,Key West,US,,7FA1,24.6487544,-81.5798083,4,-5,A,America/New_York
8476,Wyndham,Wyndham,AU,,YWYM,-15.2857,128.0722,100,8,U,Australia/Perth
8477,Bob Quinn Lake,Bob Quinn Lake,CA,YBO,CBW4,56.58,-130.5,50,-8,U,America/Vancouver
8478,Songo Songo,Songo Songo Island,TZ,,\N,-8.528056,39.506944,1,3,U,Africa/Dar_es_Salaam
8479,Jongomero Camp,Ruaha National Park,TZ,,\N,-7.895,34.580853,0,3,U,Africa/Dar_es_Salaam
8480,Msembe Airstrip,Msembe,TZ,,\N,-7.686111,35.926944,0,3,U,Africa/Dar_es_Salaam
8481,Fox Glacier Airstrip,Fox Glacier,NZ,FGL,\N,-43.4,170.033,475,12,Z,Pacific/Auckland
8482,Grabtsevo,Kaluga,RU,KLF,UUBS,54.55,36.367,600,4,E,Europe/Moscow
8483,Reykjahlid,Reykjahlid,IS,,\N,65.6,-17,100,0,U,Atlantic/Reykjavik
8484,Central Station,Stockholm,SE,XEV,\N,59.33,18.058056,10,1,E,Europe/Stockholm
8485,Central Station,Uppsala,SE,QYX,\N,59.858333,17.646111,23,1,E,Europe/Stockholm
8486,Centraal,Rotterdam,NL,QRH,\N,51.924444,4.469444,7,1,E,Europe/Amsterdam
8487,Holesovice,Praha,CZ,XYJ,\N,50.11,14.439444,616,1,E,Europe/Prague
8488,Hauptbahnhof,Bonn,DE,BNJ,\N,50.731944,7.096944,204,1,E,Europe/Berlin
8489,Central,Copenhagen,DK,ZGH,\N,55.672778,12.564444,16,1,E,Europe/Copenhagen
8490,Hauptbahnhof,Salzburg,AT,ZSB,\N,47.813056,13.046667,1391,1,E,Europe/Vienna
8491,Centraal,Antwerp,BE,ZWE,\N,51.217222,4.421111,51,1,E,Europe/Brussels
8492,Ellisras,Lephalale,ZA,ELL,FAEA,-23.666667,27.75,2700,2,U,Africa/Johannesburg
8493,Tri-County Regional Airport,Lone Rock,US,LNR,KLNR,43.211667,-90.181667,718,-6,A,America/Chicago
8494,Price County Airport,Phillips,US,,KPBH,45.705,-90.403056,1466,-6,A,America/Chicago
8495,Municipal,Monroe,US,,KEFT,42.616389,-89.591944,1079,-6,A,America/Chicago
8496,Regional Airport,Joliet,US,JOT,KJOT,41.517778,-88.175556,582,-6,A,America/Chicago
8497,Illinois Valley Regional,Peru,US,VYS,KVYS,41.351944,-89.153056,654,-6,A,America/Chicago
8498,Dirk Hartog Island,Dirk Hartog Island,AU,,YDHD,-26.00937,113.160008,15,8,O,Australia/Perth
8499,Reynolds Field,Jackson,US,JXN,KJXN,42.260556,-84.460556,1001,-5,A,America/New_York
8500,Flugplatz,Furstenwalde,DE,,EDAL,52.393889,14.099722,141,1,E,Europe/Berlin
8501,Flugplatz Finow,Eberswalde,DE,,EDAV,52.827222,13.693611,121,1,E,Europe/Berlin
8502,Joseph A. Hardy Airport,Connellsville,US,,KVVS,39.959167,-79.657222,1267,-5,A,America/New_York
