Id,Name,City,CountryId,IATA,ICAO,Latitude,Longitude,Altitude,Offset,DST,TimeZone
1,Goroka,Goroka,PG,GKA,AYGA,-6.081689,145.391881,5282,10,U,Pacific/Port_Moresby
2,Madang,Madang,PG,MAG,AYMD,-5.207083,145.7887,20,10,U,Pacific/Port_Moresby
3,Mount Hagen,Mount Hagen,PG,HGU,AYMH,-5.826789,144.295861,5388,10,U,Pacific/Port_Moresby
4,Nadzab,Nadzab,PG,LAE,AYNZ,-6.569828,146.726242,239,10,U,Pacific/Port_Moresby
5,Port Moresby Jacksons Intl,Port Moresby,PG,POM,AYPY,-9.443383,147.22005,146,10,U,Pacific/Port_Moresby
6,Wewak Intl,Wewak,PG,WWK,AYWK,-3.583828,143.669186,19,10,U,Pacific/Port_Moresby
7,Narsarsuaq,Narssarssuaq,GL,UAK,BGBW,61.160517,-45.425978,112,-3,E,America/Godthab
8,Nuuk,Godthaab,GL,GOH,BGGH,64.190922,-51.678064,283,-3,E,America/Godthab
9,Sondre Stromfjord,Sondrestrom,GL,SFJ,BGSF,67.016969,-50.689325,165,-3,E,America/Godthab
10,Thule Air Base,Thule,GL,THU,BGTL,76.531203,-68.703161,251,-4,E,America/Thule
11,Akureyri,Akureyri,IS,AEY,BIAR,65.659994,-18.072703,6,0,N,Atlantic/Reykjavik
12,Egilsstadir,Egilsstadir,IS,EGS,BIEG,65.283333,-14.401389,76,0,N,Atlantic/Reykjavik
13,Hornafjordur,Hofn,IS,HFN,BIHN,64.295556,-15.227222,24,0,N,Atlantic/Reykjavik
14,Husavik,Husavik,IS,HZK,BIHU,65.952328,-17.425978,48,0,N,Atlantic/Reykjavik
15,Isafjordur,Isafjordur,IS,IFJ,BIIS,66.058056,-23.135278,8,0,N,Atlantic/Reykjavik
16,Keflavik International Airport,Keflavik,IS,KEF,BIKF,63.985,-22.605556,171,0,N,Atlantic/Reykjavik
17,Patreksfjordur,Patreksfjordur,IS,PFJ,BIPA,65.555833,-23.965,11,0,N,Atlantic/Reykjavik
18,Reykjavik,Reykjavik,IS,RKV,BIRK,64.13,-21.940556,48,0,N,Atlantic/Reykjavik
19,Siglufjordur,Siglufjordur,IS,SIJ,BISI,66.133333,-18.916667,10,0,N,Atlantic/Reykjavik
20,Vestmannaeyjar,Vestmannaeyjar,IS,VEY,BIVM,63.424303,-20.278875,326,0,N,Atlantic/Reykjavik
21,Sault Ste Marie,Sault Sainte Marie,CA,YAM,CYAM,46.485001,-84.509445,630,-5,A,America/Toronto
22,Winnipeg St Andrews,Winnipeg,CA,YAV,CYAV,50.056389,-97.0325,760,-6,A,America/Winnipeg
23,Shearwater,Halifax,CA,YAW,CYAW,44.639721,-63.499444,167,-4,A,America/Halifax
24,St Anthony,St. Anthony,CA,YAY,CYAY,51.391944,-56.083056,108,-3.5,A,America/St_Johns
25,Tofino,Tofino,CA,YAZ,CYAZ,49.082222,-125.7725,80,-8,A,America/Vancouver
26,Kugaaruk,Pelly Bay,CA,YBB,CYBB,68.534444,-89.808056,56,-7,A,America/Edmonton
27,Baie Comeau,Baie Comeau,CA,YBC,CYBC,49.1325,-68.204444,71,-5,A,America/Toronto
28,Bagotville,Bagotville,CA,YBG,CYBG,48.330555,-70.996391,522,-5,A,America/Toronto
29,Baker Lake,Baker Lake,CA,YBK,CYBK,64.298889,-96.077778,59,-6,A,America/Winnipeg
30,Campbell River,Campbell River,CA,YBL,CYBL,49.950832,-125.270833,346,-8,A,America/Vancouver
31,Brandon Muni,Brandon,CA,YBR,CYBR,49.91,-99.951944,1343,-6,A,America/Winnipeg
32,Cambridge Bay,Cambridge Bay,CA,YCB,CYCB,69.108055,-105.138333,90,-7,A,America/Edmonton
33,Nanaimo,Nanaimo,CA,YCD,CYCD,49.052333,-123.870167,93,-8,A,America/Vancouver
34,Castlegar,Castlegar,CA,YCG,CYCG,49.296389,-117.6325,1624,-8,A,America/Vancouver
35,Miramichi,Chatham,CA,YCH,CYCH,47.007778,-65.449167,108,-4,A,America/Halifax
36,Charlo,Charlo,CA,YCL,CYCL,47.990833,-66.330278,132,-4,A,America/Halifax
37,Kugluktuk,Coppermine,CA,YCO,CYCO,67.816667,-115.143889,74,-7,A,America/Edmonton
38,Coronation,Coronation,CA,YCT,CYCT,52.075001,-111.445278,2595,-7,A,America/Edmonton
39,Chilliwack,Chilliwack,CA,YCW,CYCW,49.152779,-121.93889,32,-8,A,America/Vancouver
40,Clyde River,Clyde River,CA,YCY,CYCY,70.486111,-68.516667,87,-5,A,America/Toronto
41,Fairmont Hot Springs,Coral Harbour,CA,YZS,CYCZ,64.193333,-83.359444,2661,-5,A,America/Coral_Harbour
42,Dawson City,Dawson,CA,YDA,CYDA,64.043056,-139.127778,1215,-8,A,America/Vancouver
43,Burwash,Burwash,CA,YDB,CYDB,61.371111,-139.040556,2647,-8,A,America/Vancouver
44,Princeton,Princeton,CA,YDC,CYDC,49.468056,-120.511389,2298,-8,A,America/Vancouver
45,Deer Lake,Deer Lake,CA,YDF,CYDF,49.210833,-57.391388,72,-3.5,A,America/St_Johns
46,Dease Lake,Dease Lake,CA,YDL,CYDL,58.422222,-130.032222,2600,-8,A,America/Vancouver
47,Dauphin Barker,Dauphin,CA,YDN,CYDN,51.100834,-100.0525,999,-6,A,America/Winnipeg
48,Dawson Creek,Dawson Creek,CA,YDQ,CYDQ,55.742333,-120.183,2148,-7,A,America/Dawson_Creek
49,Edmonton Intl,Edmonton,CA,YEG,CYEG,53.309723,-113.579722,2373,-7,A,America/Edmonton
50,Arviat,Eskimo Point,CA,YEK,CYEK,61.094166,-94.070833,32,-6,A,America/Winnipeg
51,Estevan,Estevan,CA,YEN,CYEN,49.210278,-102.965833,1905,-6,N,America/Regina
52,Edson,Edson,CA,YET,CYET,53.578888,-116.465,3041,-7,A,America/Edmonton
53,Eureka,Eureka,CA,YEU,CYEU,79.994722,-85.814167,256,-6,A,America/Winnipeg
54,Inuvik Mike Zubko,Inuvik,CA,YEV,CYEV,68.304167,-133.482778,224,-7,A,America/Edmonton
55,Iqaluit,Iqaluit,CA,YFB,CYFB,63.75639,-68.555832,110,-5,A,America/Toronto
56,Fredericton,Fredericton,CA,YFC,CYFC,45.868889,-66.537222,68,-4,A,America/Halifax
57,Forestville,Forestville,CA,,CYFE,48.746111,-69.097222,293,-5,A,America/Toronto
58,Flin Flon,Flin Flon,CA,YFO,CYFO,54.678055,-101.681667,997,-6,A,America/Winnipeg
59,Fort Resolution,Fort Resolution,CA,YFR,CYFR,61.180832,-113.689722,526,-7,A,America/Edmonton
60,Fort Simpson,Fort Simpson,CA,YFS,CYFS,61.760153,-121.236525,555,-7,A,America/Edmonton
61,Kingston,Kingston,CA,YGK,CYGK,44.225277,-76.596944,305,-5,A,America/Toronto
62,La Grande Riviere,La Grande Riviere,CA,YGL,CYGL,53.625278,-77.704167,639,-5,A,America/Toronto
63,Gaspe,Gaspe,CA,YGP,CYGP,48.775278,-64.478611,108,-5,A,America/Toronto
64,Geraldton Greenstone Regional,Geraldton,CA,YGQ,CYGQ,49.778332,-86.939445,1144,-5,A,America/Toronto
65,Iles De La Madeleine,Iles De La Madeleine,CA,YGR,CYGR,47.424721,-61.778056,35,-5,A,America/Toronto
66,Hudson Bay,Hudson Bay,CA,YHB,CYHB,52.816666,-102.31139,1175,-6,N,America/Regina
67,Dryden Rgnl,Dryden,CA,YHD,CYHD,49.831667,-92.744167,1354,-6,A,America/Winnipeg
68,Ulukhaktok Holman,Holman Island,CA,YHI,CYHI,70.762778,-117.806111,117,-7,A,America/Edmonton
69,Gjoa Haven,Gjoa Haven,CA,YHK,CYHK,68.635556,-95.849722,152,-7,A,America/Edmonton
70,Hamilton,Hamilton,CA,YHM,CYHM,43.173611,-79.935,780,-5,A,America/Toronto
71,St Hubert,Montreal,CA,YHU,CYHU,45.5175,-73.416944,90,-5,A,America/Toronto
72,Hay River,Hay River,CA,YHY,CYHY,60.839722,-115.782778,543,-7,A,America/Edmonton
73,Halifax Intl,Halifax,CA,YHZ,CYHZ,44.880833,-63.50861,477,-4,A,America/Halifax
74,Atikokan Muni,Atikokan,CA,YIB,CYIB,48.773888,-91.638611,1408,-5,A,America/Coral_Harbour
75,Pond Inlet,Pond Inlet,CA,YIO,CYIO,72.683334,-77.966667,181,-5,A,America/Toronto
76,St Jean,St. Jean,CA,YJN,CYJN,45.294445,-73.281111,136,-5,A,America/Toronto
77,Stephenville,Stephenville,CA,YJT,CYJT,48.544167,-58.549999,80,-3.5,A,America/St_Johns
78,Kamloops,Kamloops,CA,YKA,CYKA,50.702222,-120.444444,1133,-8,A,America/Vancouver
79,Waterloo,Waterloo,CA,YKF,CYKF,43.460833,-80.378611,1054,-5,A,America/Toronto
80,Schefferville,Schefferville,CA,YKL,CYKL,54.805278,-66.805278,1709,-5,A,America/Toronto
81,Kindersley,Kindersley,CA,YKY,CYKY,51.5175,-109.180833,2277,-6,N,America/Regina
82,Buttonville Muni,Toronto,CA,YKZ,CYKZ,43.862221,-79.37,650,-5,A,America/Toronto
83,Chapleau,Chapleau,CA,YLD,CYLD,47.82,-83.346667,1470,-5,A,America/Toronto
84,Meadow Lake,Meadow Lake,CA,YLJ,CYLJ,54.125278,-108.522778,1576,-6,N,America/Regina
85,Lloydminster,Lloydminster,CA,YLL,CYLL,53.309166,-110.0725,2193,-7,A,America/Edmonton
86,Alert,Alert,CA,YLT,CYLT,82.517778,-62.280556,100,-5,A,America/Toronto
87,Kelowna,Kelowna,CA,YLW,CYLW,49.956112,-119.377778,1409,-8,A,America/Vancouver
88,Mayo,Mayo,CA,YMA,CYMA,63.616389,-135.868333,1653,-8,A,America/Vancouver
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,CA,YMJ,CYMJ,50.330278,-105.559167,1892,-6,N,America/Regina
90,Fort Mcmurray,Fort Mcmurray,CA,YMM,CYMM,56.653333,-111.221944,1211,-7,A,America/Edmonton
91,Moosonee,Moosonee,CA,YMO,CYMO,51.291111,-80.607778,30,-5,A,America/Toronto
92,Maniwaki,Maniwaki,CA,YMW,CYMW,46.272778,-75.990556,656,-5,A,America/Toronto
93,Montreal Intl Mirabel,Montreal,CA,YMX,CYMX,45.681944,-74.005278,270,-5,A,America/Toronto
94,Natashquan,Natashquan,CA,YNA,CYNA,50.19,-61.789167,39,-5,A,America/Toronto
95,Gatineau,Gatineau,CA,YND,CYND,45.521694,-75.563589,211,-5,A,America/Toronto
96,Matagami,Matagami,CA,YNM,CYNM,49.761667,-77.802778,918,-5,A,America/Toronto
97,Old Crow,Old Crow,CA,YOC,CYOC,67.570556,-139.839167,824,-8,A,America/Vancouver
98,Cold Lake,Cold Lake,CA,YOD,CYOD,54.404999,-110.279444,1775,-7,A,America/Edmonton
99,High Level,High Level,CA,YOJ,CYOJ,58.621389,-117.164722,1110,-7,A,America/Edmonton
100,Ottawa Macdonald Cartier Intl,Ottawa,CA,YOW,CYOW,45.3225,-75.669167,374,-5,A,America/Toronto
101,Prince Albert Glass Field,Prince Albert,CA,YPA,CYPA,53.214167,-105.672778,1405,-6,N,America/Regina
102,Peace River,Peace River,CA,YPE,CYPE,56.226944,-117.447222,1873,-7,A,America/Edmonton
103,Southport,Portage-la-prairie,CA,YPG,CYPG,49.903056,-98.273889,885,-6,A,America/Winnipeg
104,Pitt Meadows,Pitt Meadows,CA,,CYPK,49.21611,-122.71,11,-8,A,America/Vancouver
105,Pickle Lake,Pickle Lake,CA,YPL,CYPL,51.446388,-90.214167,1267,-5,A,America/Coral_Harbour
106,Port Menier,Port Menier,CA,YPN,CYPN,49.836389,-64.288611,167,-5,A,America/Toronto
107,Peterborough,Peterborough,CA,YPQ,CYPQ,44.23,-78.363333,628,-5,A,America/Toronto
108,Prince Rupert,Prince Pupert,CA,YPR,CYPR,54.28611,-130.444722,116,-8,A,America/Vancouver
109,Fort Chipewyan,Fort Chipewyan,CA,YPY,CYPY,58.767223,-111.117222,761,-7,A,America/Edmonton
110,Muskoka,Muskoka,CA,YQA,CYQA,44.974722,-79.303333,925,-5,A,America/Toronto
111,Quebec Jean Lesage Intl,Quebec,CA,YQB,CYQB,46.791111,-71.393333,244,-5,A,America/Toronto
112,Red Deer Regional,Red Deer Industrial,CA,YQF,CYQF,52.182222,-113.894444,2968,-7,A,America/Edmonton
113,Windsor,Windsor,CA,YQG,CYQG,42.275556,-82.955556,622,-5,A,America/Toronto
114,Watson Lake,Watson Lake,CA,YQH,CYQH,60.116389,-128.8225,2255,-8,A,America/Vancouver
115,Kenora,Kenora,CA,YQK,CYQK,49.788334,-94.363056,1332,-6,A,America/Winnipeg
116,Lethbridge,Lethbridge,CA,YQL,CYQL,49.630278,-112.799722,3047,-7,A,America/Edmonton
117,Greater Moncton Intl,Moncton,CA,YQM,CYQM,46.112221,-64.678611,232,-4,A,America/Halifax
119,Comox,Comox,CA,YQQ,CYQQ,49.710833,-124.886667,84,-8,A,America/Vancouver
120,Regina Intl,Regina,CA,YQR,CYQR,50.431944,-104.665833,1894,-6,N,America/Regina
121,Thunder Bay,Thunder Bay,CA,YQT,CYQT,48.371944,-89.323889,653,-5,A,America/Toronto
122,Grande Prairie,Grande Prairie,CA,YQU,CYQU,55.179722,-118.885,2195,-7,A,America/Edmonton
123,Yorkton Muni,Yorkton,CA,YQV,CYQV,51.264721,-102.461667,1635,-6,N,America/Regina
124,North Battleford,North Battleford,CA,YQW,CYQW,52.769167,-108.24361,1799,-6,N,America/Regina
125,Gander Intl,Gander,CA,YQX,CYQX,48.936944,-54.568056,496,-3.5,A,America/St_Johns
126,Sydney,Sydney,CA,YQY,CYQY,46.161388,-60.047779,203,-4,A,America/Halifax
127,Quesnel,Quesnel,CA,YQZ,CYQZ,53.026112,-122.510278,1789,-8,A,America/Vancouver
128,Resolute Bay,Resolute,CA,YRB,CYRB,74.716944,-94.969444,215,-6,A,America/Winnipeg
129,Riviere Du Loup,Riviere Du Loup,CA,YRI,CYRI,47.764444,-69.584722,427,-5,A,America/Toronto
130,Roberval,Roberval,CA,YRJ,CYRJ,48.52,-72.265556,586,-5,A,America/Toronto
131,Rocky Mountain House,Rocky Mountain House,CA,YRM,CYRM,52.429722,-114.904167,3244,-7,A,America/Edmonton
132,Rankin Inlet,Rankin Inlet,CA,YRT,CYRT,62.81139,-92.115833,94,-6,A,America/Winnipeg
133,Sudbury,Sudbury,CA,YSB,CYSB,46.625,-80.798889,1141,-5,A,America/Toronto
134,Sherbrooke,Sherbrooke,CA,YSC,CYSC,45.438611,-71.691389,792,-5,A,America/Toronto
135,Saint John,St. John,CA,YSJ,CYSJ,45.316111,-65.890278,357,-4,A,America/Halifax
136,Fort Smith,Fort Smith,CA,YSM,CYSM,60.020278,-111.961944,671,-7,A,America/Edmonton
137,Nanisivik,Nanisivik,CA,YSR,CYSR,72.982222,-84.613611,2106,-5,A,America/Toronto
138,Summerside,Summerside,CA,YSU,CYSU,46.440556,-63.833611,56,-4,A,America/Halifax
139,Sachs Harbour,Sachs Harbour,CA,YSY,CYSY,71.993889,-125.2425,282,-7,A,America/Edmonton
140,Cape Dorset,Cape Dorset,CA,YTE,CYTE,64.23,-76.526667,164,-5,A,America/Toronto
141,Thompson,Thompson,CA,YTH,CYTH,55.801111,-97.864166,729,-6,A,America/Winnipeg
142,Trenton,Trenton,CA,YTR,CYTR,44.118889,-77.528056,283,-5,A,America/Toronto
143,Timmins,Timmins,CA,YTS,CYTS,48.569721,-81.376667,967,-5,A,America/Toronto
144,City Centre,Toronto,CA,YTZ,CYTZ,43.627499,-79.396167,251,-5,A,America/Toronto
145,Tuktoyaktuk,Tuktoyaktuk,CA,YUB,CYUB,69.433334,-133.026389,15,-7,A,America/Edmonton
146,Pierre Elliott Trudeau Intl,Montreal,CA,YUL,CYUL,45.470556,-73.740833,118,-5,A,America/Toronto
147,Repulse Bay,Repulse Bay,CA,YUT,CYUT,66.521389,-86.224722,80,-6,A,America/Winnipeg
148,Hall Beach,Hall Beach,CA,YUX,CYUX,68.776111,-81.243611,27,-5,A,America/Toronto
149,Rouyn Noranda,Rouyn,CA,YUY,CYUY,48.206111,-78.835556,988,-5,A,America/Toronto
150,La Ronge,La Ronge,CA,YVC,CYVC,55.15139,-105.261944,1242,-6,N,America/Regina
151,Vermilion,Vermillion,CA,YVG,CYVG,53.355833,-110.82389,2025,-7,A,America/Edmonton
152,Qikiqtarjuaq,Broughton Island,CA,YVM,CYVM,67.545833,-64.031389,21,-5,A,America/Toronto
153,Val D Or,Val D'or,CA,YVO,CYVO,48.053333,-77.782778,1107,-5,A,America/Toronto
154,Kuujjuaq,Quujjuaq,CA,YVP,CYVP,58.096111,-68.426944,129,-5,A,America/Toronto
155,Norman Wells,Norman Wells,CA,YVQ,CYVQ,65.281617,-126.798219,238,-7,A,America/Edmonton
156,Vancouver Intl,Vancouver,CA,YVR,CYVR,49.193889,-123.184444,14,-8,A,America/Vancouver
157,Buffalo Narrows,Buffalo Narrows,CA,YVT,CYVT,55.841944,-108.4175,1444,-6,N,America/Regina
158,Wiarton,Wiarton,CA,YVV,CYVV,44.745834,-81.107222,729,-5,A,America/Toronto
159,Petawawa,Petawawa,CA,YWA,CYWA,45.952221,-77.319168,427,-5,A,America/Toronto
160,Winnipeg Intl,Winnipeg,CA,YWG,CYWG,49.910036,-97.239886,783,-6,A,America/Winnipeg
161,Wabush,Wabush,CA,YWK,CYWK,52.921944,-66.864444,1808,-4,A,America/Halifax
162,Williams Lake,Williams Lake,CA,YWL,CYWL,52.183056,-122.054167,3085,-8,A,America/Vancouver
163,Wrigley,Wrigley,CA,YWY,CYWY,63.209444,-123.436667,489,-7,A,America/Edmonton
164,Canadian Rockies Intl,Cranbrook,CA,YXC,CYXC,49.612222,-115.781944,3084,-7,A,America/Edmonton
165,Edmonton City Centre,Edmonton,CA,YXD,CYXD,53.5725,-113.520556,2200,-7,A,America/Edmonton
166,Saskatoon J G Diefenbaker Intl,Saskatoon,CA,YXE,CYXE,52.170834,-106.699722,1653,-6,N,America/Regina
167,Medicine Hat,Medicine Hat,CA,YXH,CYXH,50.01889,-110.720833,2352,-7,A,America/Edmonton
168,Fort St John,Fort Saint John,CA,YXJ,CYXJ,56.238056,-120.740278,2280,-7,A,America/Dawson_Creek
169,Sioux Lookout,Sioux Lookout,CA,YXL,CYXL,50.113889,-91.905278,1258,-6,A,America/Winnipeg
170,Pangnirtung,Pangnirtung,CA,YXP,CYXP,66.145,-65.713611,75,-5,A,America/Toronto
171,Timiskaming Rgnl,Earlton,CA,YXR,CYXR,47.695,-79.848889,798,-5,A,America/Toronto
172,Prince George,Prince George,CA,YXS,CYXS,53.889444,-122.678889,2267,-8,A,America/Vancouver
173,Terrace,Terrace,CA,YXT,CYXT,54.468508,-128.576219,713,-8,A,America/Vancouver
174,London,London,CA,YXU,CYXU,43.033056,-81.151111,912,-5,A,America/Toronto
175,Abbotsford,Abbotsford,CA,YXX,CYXX,49.025278,-122.360556,195,-8,A,America/Vancouver
176,Whitehorse Intl,Whitehorse,CA,YXY,CYXY,60.709553,-135.067269,2317,-8,A,America/Vancouver
177,North Bay,North Bay,CA,YYB,CYYB,46.363611,-79.422778,1215,-5,A,America/Toronto
178,Calgary Intl,Calgary,CA,YYC,CYYC,51.113888,-114.020278,3557,-7,A,America/Edmonton
179,Smithers,Smithers,CA,YYD,CYYD,54.824722,-127.182778,1712,-8,A,America/Vancouver
180,Fort Nelson,Fort Nelson,CA,YYE,CYYE,58.836389,-122.596944,1253,-8,A,America/Vancouver
181,Penticton,Penticton,CA,YYF,CYYF,49.463056,-119.602222,1129,-8,A,America/Vancouver
182,Charlottetown,Charlottetown,CA,YYG,CYYG,46.290001,-63.121111,160,-4,A,America/Halifax
183,Taloyoak,Spence Bay,CA,YYH,CYYH,69.546667,-93.576667,92,-7,A,America/Edmonton
184,Victoria Intl,Victoria,CA,YYJ,CYYJ,48.646944,-123.425833,63,-8,A,America/Vancouver
185,Lynn Lake,Lynn Lake,CA,YYL,CYYL,56.863888,-101.07611,1170,-6,A,America/Winnipeg
186,Swift Current,Swift Current,CA,YYN,CYYN,50.291944,-107.690556,2680,-6,N,America/Regina
187,Churchill,Churchill,CA,YYQ,CYYQ,58.739167,-94.065,94,-6,A,America/Winnipeg
188,Goose Bay,Goose Bay,CA,YYR,CYYR,53.319168,-60.425833,160,-4,A,America/Halifax
189,St Johns Intl,St. John's,CA,YYT,CYYT,47.61861,-52.751945,461,-3.5,A,America/St_Johns
190,Kapuskasing,Kapuskasing,CA,YYU,CYYU,49.413889,-82.4675,743,-5,A,America/Toronto
191,Armstrong,Armstrong,CA,YYW,CYYW,50.290279,-88.909721,1058,-5,A,America/Toronto
192,Mont Joli,Mont Joli,CA,YYY,CYYY,48.608612,-68.208056,172,-5,A,America/Toronto
193,Lester B Pearson Intl,Toronto,CA,YYZ,CYYZ,43.677223,-79.630556,569,-5,A,America/Toronto
194,Downsview,Toronto,CA,YZD,CYZD,43.7425,-79.465556,652,-5,A,America/Toronto
195,Gore Bay Manitoulin,Gore Bay,CA,YZE,CYZE,45.885277,-82.567778,635,-5,A,America/Toronto
196,Yellowknife,Yellowknife,CA,YZF,CYZF,62.462778,-114.440278,675,-7,A,America/Edmonton
197,Slave Lake,Slave Lake,CA,YZH,CYZH,55.293056,-114.777222,1912,-7,A,America/Edmonton
198,Sandspit,Sandspit,CA,YZP,CYZP,53.254333,-131.813833,21,-8,A,America/Vancouver
199,Chris Hadfield,Sarnia,CA,YZR,CYZR,42.999444,-82.308889,594,-5,A,America/Toronto
200,Port Hardy,Port Hardy,CA,YZT,CYZT,50.680556,-127.366667,71,-8,A,America/Vancouver
201,Whitecourt,Whitecourt,CA,YZU,CYZU,54.14389,-115.786667,2567,-7,A,America/Edmonton
202,Sept Iles,Sept-iles,CA,YZV,CYZV,50.223333,-66.265556,180,-5,A,America/Toronto
203,Teslin,Teslin,CA,YZW,CYZW,60.172779,-132.742778,2313,-8,A,America/Vancouver
204,Greenwood,Greenwood,CA,YZX,CYZX,44.984444,-64.916944,92,-4,A,America/Halifax
205,Faro,Faro,CA,ZFA,CZFA,62.2075,-133.375833,2351,-8,A,America/Vancouver
206,Fort Mcpherson,Fort Mcpherson,CA,ZFM,CZFM,67.4075,-134.860556,116,-7,A,America/Edmonton
207,Blida,Blida,DZ,,DAAB,36.503613,2.814167,535,1,N,Africa/Algiers
208,Bou Saada,Bou Saada,DZ,,DAAD,35.3325,4.206389,1506,1,N,Africa/Algiers
209,Soummam,Bejaja,DZ,BJA,DAAE,36.711997,5.069922,20,1,N,Africa/Algiers
210,Houari Boumediene,Algier,DZ,ALG,DAAG,36.691014,3.215408,82,1,N,Africa/Algiers
211,Tiska,Djanet,DZ,DJG,DAAJ,24.292767,9.452444,3176,1,N,Africa/Algiers
212,Boufarik,Boufarik,DZ,QFD,DAAK,36.545834,2.876111,335,1,N,Africa/Algiers
213,Reggane,Reggan,DZ,,DAAN,26.710103,0.285647,955,1,N,Africa/Algiers
214,Illizi Takhamalt,Illizi,DZ,VVZ,DAAP,26.723536,8.622653,1778,1,N,Africa/Algiers
215,Ain Oussera,Ain Oussera,DZ,,DAAQ,35.525414,2.878714,2132,1,N,Africa/Algiers
216,Tamanrasset,Tamanrasset,DZ,TMR,DAAT,22.811461,5.451075,4518,1,N,Africa/Algiers
217,Jijel,Jijel,DZ,GJL,DAAV,36.795136,5.873608,36,1,N,Africa/Algiers
218,Mecheria,Mecheria,DZ,,DAAY,33.535853,-0.242353,3855,1,N,Africa/Algiers
219,Relizane,Relizane,DZ,,DAAZ,35.752239,0.626272,282,1,N,Africa/Algiers
220,Annaba,Annaba,DZ,AAE,DABB,36.822225,7.809167,16,1,N,Africa/Algiers
221,Mohamed Boudiaf Intl,Constantine,DZ,CZL,DABC,36.276028,6.620386,2265,1,N,Africa/Algiers
222,Cheikh Larbi Tebessi,Tebessa,DZ,TEE,DABS,35.431611,8.120717,2661,1,N,Africa/Algiers
224,Hassi R Mel,Tilrempt,DZ,HRM,DAFH,32.930431,3.311542,2540,1,N,Africa/Algiers
225,Bou Chekif,Tiaret,DZ,TID,DAOB,35.341136,1.463147,3245,1,N,Africa/Algiers
226,Bou Sfer,Bou Sfer,DZ,,DAOE,35.735389,-0.805389,187,1,N,Africa/Algiers
227,Tindouf,Tindouf,DZ,TIN,DAOF,27.700372,-8.167103,1453,1,N,Africa/Algiers
228,Ech Cheliff,Ech-cheliff,DZ,QAS,DAOI,36.212658,1.331775,463,1,N,Africa/Algiers
229,Tafaraoui,Oran,DZ,TAF,DAOL,35.542444,-0.532278,367,1,N,Africa/Algiers
230,Zenata,Tlemcen,DZ,TLM,DAON,35.016667,-1.45,814,1,N,Africa/Algiers
231,Es Senia,Oran,DZ,ORN,DAOO,35.623858,-0.621183,295,1,N,Africa/Algiers
232,Sidi Bel Abbes,Sidi Bel Abbes,DZ,,DAOS,35.171775,-0.593275,1614,1,N,Africa/Algiers
233,Ghriss,Ghriss,DZ,MUW,DAOV,35.207725,0.147142,1686,1,N,Africa/Algiers
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,DZ,AZR,DAUA,27.837589,-0.186414,919,1,N,Africa/Algiers
235,Biskra,Biskra,DZ,BSK,DAUB,34.793289,5.738231,289,1,N,Africa/Algiers
236,El Golea,El Golea,DZ,ELG,DAUE,30.571294,2.859586,1306,1,N,Africa/Algiers
237,Noumerat,Ghardaia,DZ,GHA,DAUG,32.384106,3.794114,1512,1,N,Africa/Algiers
238,Oued Irara,Hassi Messaoud,DZ,HME,DAUH,31.672972,6.140444,463,1,N,Africa/Algiers
239,In Salah,In Salah,DZ,INZ,DAUI,27.251022,2.512017,896,1,N,Africa/Algiers
240,Sidi Mahdi,Touggourt,DZ,TGR,DAUK,33.067803,6.088672,279,1,N,Africa/Algiers
241,Laghouat,Laghouat,DZ,LOO,DAUL,33.764383,2.928344,2510,1,N,Africa/Algiers
242,Timimoun,Timimoun,DZ,TMX,DAUT,29.237119,0.276033,1027,1,N,Africa/Algiers
243,Ouargla,Ouargla,DZ,OGX,DAUU,31.917223,5.412778,492,1,N,Africa/Algiers
244,In Amenas,Zarzaitine,DZ,IAM,DAUZ,28.05155,9.642911,1847,1,N,Africa/Algiers
245,Cadjehoun,Cotonou,BJ,COO,DBBB,6.357228,2.384353,19,1,N,Africa/Porto-Novo
246,Ouagadougou,Ouagadougou,BF,OUA,DFFD,12.353194,-1.512417,1037,0,N,Africa/Ouagadougou
247,Bobo Dioulasso,Bobo-dioulasso,BF,BOY,DFOO,11.160056,-4.330969,1511,0,N,Africa/Ouagadougou
248,Kotoka Intl,Accra,GH,ACC,DGAA,5.605186,-0.166786,205,0,N,Africa/Accra
249,Tamale,Tamale,GH,TML,DGLE,9.557192,-0.863214,553,0,N,Africa/Accra
250,Wa,Wa,GH,,DGLW,10.082664,-2.507694,1060,0,N,Africa/Accra
251,Sunyani,Sunyani,GH,NYI,DGSN,7.361828,-2.328756,1014,0,N,Africa/Accra
252,Takoradi,Takoradi,GH,TKD,DGTK,4.896056,-1.774756,21,0,N,Africa/Accra
253,Abidjan Felix Houphouet Boigny Intl,Abidjan,CI,ABJ,DIAP,5.261386,-3.926294,21,0,N,Africa/Abidjan
254,Bouake,Bouake,CI,BYK,DIBK,7.7388,-5.073667,1230,0,N,Africa/Abidjan
255,Daloa,Daloa,CI,DJO,DIDL,6.792808,-6.473189,823,0,N,Africa/Abidjan
256,Korhogo,Korhogo,CI,HGO,DIKO,9.387183,-5.556664,1214,0,N,Africa/Abidjan
257,Man,Man,CI,MJC,DIMN,7.272069,-7.587364,1089,0,N,Africa/Abidjan
258,San Pedro,San Pedro,CI,SPY,DISP,4.746717,-6.660817,26,0,N,Africa/Abidjan
